N_EXPEDIENT,CODI_DISTRICTE,DISTRICTE,CODI_BARRI,BARRI,TIPUS_CARRER,CARRER,TIPUS_NUM,NUM1,LLETRA1,NUM2,LLETRA2,BLOC,PORTAL,ESCALA,PIS,PORTA,NUMERO_REGISTRE_GENERALITAT,NUMERO_PLACES,LONGITUD_X,LATITUD_Y
03-2011-0191,3,SANTS-MONTJUÏC,11,el Poble Sec,Avinguda,PARAL.LEL,1,65,,,,,,,1,2,HUTB-002596,7,2.1679331553499477,41.372931165131128
03-2011-0192,3,SANTS-MONTJUÏC,11,el Poble Sec,Avinguda,PARAL.LEL,1,65,,,,,,,7,3,HUTB-002597,4,2.1679331553499477,41.372931165131128
03-2011-0193,3,SANTS-MONTJUÏC,11,el Poble Sec,Avinguda,PARAL.LEL,1,65,,,,,,,1,1,HUTB-002598,7,2.1679331553499477,41.372931165131128
04-2011-0078,4,LES CORTS,19,les Corts,Carrer,TAQUIGRAF GARRIGA,1,7,,,,,,,,,HUTB-001805,14,2.1306599854355999,41.384000508867871
03-2011-0241,3,SANTS-MONTJUÏC,16,la Bordeta,Carrer,RIERA DE TENA,1,13,,,,,,,AT,3,HUTB-001664,4,2.1325592572572982,41.368949204672482
01-2011-0152,1,CIUTAT VELLA,4,"Sant Pere, Santa Caterina i la Ribera",Carrer,AGULLERS,2,22,,,,,,,2,,HUTB-003650,3,2.1809031287047378,41.381038820907584
02-2011-0555,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,GIRONA,2,110,,,,,,,4,3,HUTB-000388,5,2.1678279696687159,41.394793193056714
02-2011-0557,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,GIRONA,2,110,,,,,,,5,1,HUTB-000387,5,2.1678279696687159,41.394793193056714
02-2011-0558,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,GIRONA,2,110,,,,,,,5,2,HUTB-000386,4,2.1678279696687159,41.394793193056714
02-2011-0559,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,GIRONA,2,110,,,,,,,5,3,HUTB-000385,5,2.1678279696687159,41.394793193056714
06-2011-0156,6,GRACIA,32,el Camp d'en Grassot i Gràcia Nova,Carrer,INDUSTRIA,2,52,,,,,,,5,4,HUTB-000786,7,2.1669870086439116,41.402815368212401
06-2011-0158,6,GRACIA,32,el Camp d'en Grassot i Gràcia Nova,Carrer,SARDENYA,1,491,,,,,,B,5,3,HUTB-001725,8,2.1637097790310644,41.407866580171778
02-2011-0630,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Ronda,UNIVERSITAT,1,15,,,,,,,2,2,HUTB-001256,13,2.1648024325803332,41.384767085513445
03-2011-0184,3,SANTS-MONTJUÏC,11,el Poble Sec,Avinguda,PARAL.LEL,1,65,,,,,,,3,1,HUTB-002589,7,2.1679331553499477,41.372931165131128
03-2011-0194,3,SANTS-MONTJUÏC,11,el Poble Sec,Avinguda,PARAL.LEL,1,65,,,,,,,7,4,HUTB-002599,4,2.1679331553499477,41.372931165131128
03-2011-0195,3,SANTS-MONTJUÏC,11,el Poble Sec,Avinguda,PARAL.LEL,1,65,,,,,,,5,2,HUTB-002600,7,2.1679331553499477,41.372931165131128
03-2011-0196,3,SANTS-MONTJUÏC,11,el Poble Sec,Avinguda,PARAL.LEL,1,65,,,,,,,5,1,HUTB-002601,7,2.1679331553499477,41.372931165131128
01-2011-0123,1,CIUTAT VELLA,4,"Sant Pere, Santa Caterina i la Ribera",Carrer,AGULLERS,2,22,,,,,,,1,,HUTB-003654,3,2.1809031287047378,41.381038820907584
10-2011-0327,10,SANT MARTI,68,el Poblenou,Carrer,PUJADES,1,143,,,,,,,PR,1,HUTB-002867,4,2.1975159341788513,41.398399188494949
01-2011-0170,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,ROCA,2,8,,,,,,,2,2,HUTB-001679,3,2.1719852300716442,41.380378750233447
01-2011-0171,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,ROCA,2,8,,,,,,,3,2,HUTB-001681,3,2.1719852300716442,41.380378750233447
01-2011-0172,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,ROCA,2,8,,,,,,,4,2,HUTB-001685,3,2.1719852300716442,41.380378750233447
01-2011-0173,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,ROCA,2,8,,,,,,,5,2,HUTB-001686,3,2.1719852300716442,41.380378750233447
