Any,Codi_Barri,Nom_Barri,Valor,CODI_BARRI_DEST,SEXE
2018,1,el Raval,889,1,1
2018,1,el Raval,1371,1,2
2018,1,el Raval,118,2,1
2018,1,el Raval,450,2,2
2018,1,el Raval,34,3,1
2018,1,el Raval,60,3,2
2018,1,el Raval,73,4,1
2018,1,el Raval,79,4,2
2018,1,el Raval,44,5,1
2018,1,el Raval,44,5,2
2018,1,el Raval,37,6,1
2018,1,el Raval,48,6,2
2018,1,el Raval,54,7,1
2018,1,el Raval,48,7,2
2018,1,el Raval,50,8,1
2018,1,el Raval,52,8,2
2018,1,el Raval,82,9,1
2018,1,el Raval,82,9,2
2018,1,el Raval,159,10,1
2018,1,el Raval,155,10,2
2018,1,el Raval,208,11,1
2018,1,el Raval,249,11,2
2018,1,el Raval,28,13,1
2018,1,el Raval,25,13,2
2018,1,el Raval,6,14,1
2018,1,el Raval,12,14,2
2018,1,el Raval,41,15,1
2018,1,el Raval,47,15,2
2018,1,el Raval,24,16,1
2018,1,el Raval,21,16,2
2018,1,el Raval,22,17,1
2018,1,el Raval,27,17,2
2018,1,el Raval,39,18,1
2018,1,el Raval,70,18,2
2018,1,el Raval,15,19,1
2018,1,el Raval,20,19,2
2018,1,el Raval,9,20,1
2018,1,el Raval,10,20,2
2018,1,el Raval,..,22,1
2018,1,el Raval,8,23,1
2018,1,el Raval,9,23,2
2018,1,el Raval,6,24,1
2018,1,el Raval,..,24,2
2018,1,el Raval,8,25,1
2018,1,el Raval,5,25,2
2018,1,el Raval,20,26,1
2018,1,el Raval,12,26,2
2018,1,el Raval,9,27,1
2018,1,el Raval,16,27,2
2018,1,el Raval,7,28,1
2018,1,el Raval,10,28,2
2018,1,el Raval,5,29,1
2018,1,el Raval,5,29,2
2018,1,el Raval,7,30,1
2018,1,el Raval,..,30,2
2018,1,el Raval,62,31,1
2018,1,el Raval,69,31,2
2018,1,el Raval,27,32,1
2018,1,el Raval,22,32,2
2018,1,el Raval,5,33,1
2018,1,el Raval,6,33,2
2018,1,el Raval,6,34,1
2018,1,el Raval,6,34,2
2018,1,el Raval,22,35,1
2018,1,el Raval,25,35,2
2018,1,el Raval,..,36,1
2018,1,el Raval,..,36,2
2018,1,el Raval,18,37,1
2018,1,el Raval,26,37,2
2018,1,el Raval,10,38,1
2018,1,el Raval,8,38,2
2018,1,el Raval,..,39,1
2018,1,el Raval,..,39,2
2018,1,el Raval,5,40,1
2018,1,el Raval,..,40,2
2018,1,el Raval,..,41,1
2018,1,el Raval,..,42,1
2018,1,el Raval,..,42,2
2018,1,el Raval,7,43,1
2018,1,el Raval,10,43,2
2018,1,el Raval,10,44,1
2018,1,el Raval,10,44,2
2018,1,el Raval,7,45,1
2018,1,el Raval,6,45,2
2018,1,el Raval,7,46,1
2018,1,el Raval,9,46,2
2018,1,el Raval,..,47,1
2018,1,el Raval,12,48,1
2018,1,el Raval,..,48,2
2018,1,el Raval,12,50,1
2018,1,el Raval,13,50,2
2018,1,el Raval,15,51,1
2018,1,el Raval,11,51,2
2018,1,el Raval,11,52,1
2018,1,el Raval,9,52,2
2018,1,el Raval,..,53,1
2018,1,el Raval,..,53,2
2018,1,el Raval,..,54,1
2018,1,el Raval,..,54,2
2018,1,el Raval,7,55,1
2018,1,el Raval,11,55,2
2018,1,el Raval,..,56,1
2018,1,el Raval,7,57,1
2018,1,el Raval,16,57,2
2018,1,el Raval,..,58,1
2018,1,el Raval,..,58,2
2018,1,el Raval,7,59,1
2018,1,el Raval,7,59,2
2018,1,el Raval,22,60,1
2018,1,el Raval,19,60,2
2018,1,el Raval,8,61,1
2018,1,el Raval,10,61,2
2018,1,el Raval,10,62,1
2018,1,el Raval,15,62,2
2018,1,el Raval,19,63,1
2018,1,el Raval,12,63,2
2018,1,el Raval,21,64,1
2018,1,el Raval,32,64,2
2018,1,el Raval,13,65,1
2018,1,el Raval,21,65,2
2018,1,el Raval,19,66,1
2018,1,el Raval,19,66,2
2018,1,el Raval,..,67,1
2018,1,el Raval,..,67,2
2018,1,el Raval,22,68,1
2018,1,el Raval,23,68,2
2018,1,el Raval,5,69,1
2018,1,el Raval,..,69,2
2018,1,el Raval,30,70,1
2018,1,el Raval,58,70,2
2018,1,el Raval,13,71,1
2018,1,el Raval,19,71,2
2018,1,el Raval,17,72,1
2018,1,el Raval,25,72,2
2018,1,el Raval,16,73,1
2018,1,el Raval,11,73,2
2018,2,el Barri Gòtic,98,1,1
2018,2,el Barri Gòtic,143,1,2
2018,2,el Barri Gòtic,102,2,1
2018,2,el Barri Gòtic,154,2,2
2018,2,el Barri Gòtic,36,3,1
2018,2,el Barri Gòtic,46,3,2
2018,2,el Barri Gòtic,58,4,1
2018,2,el Barri Gòtic,62,4,2
2018,2,el Barri Gòtic,20,5,1
2018,2,el Barri Gòtic,20,5,2
2018,2,el Barri Gòtic,20,6,1
2018,2,el Barri Gòtic,19,6,2
2018,2,el Barri Gòtic,43,7,1
2018,2,el Barri Gòtic,53,7,2
2018,2,el Barri Gòtic,23,8,1
2018,2,el Barri Gòtic,23,8,2
2018,2,el Barri Gòtic,28,9,1
2018,2,el Barri Gòtic,27,9,2
2018,2,el Barri Gòtic,36,10,1
2018,2,el Barri Gòtic,38,10,2
2018,2,el Barri Gòtic,41,11,1
2018,2,el Barri Gòtic,42,11,2
2018,2,el Barri Gòtic,13,13,1
2018,2,el Barri Gòtic,16,13,2
2018,2,el Barri Gòtic,..,14,1
2018,2,el Barri Gòtic,5,14,2
2018,2,el Barri Gòtic,9,15,1
2018,2,el Barri Gòtic,6,15,2
2018,2,el Barri Gòtic,6,16,1
2018,2,el Barri Gòtic,8,16,2
2018,2,el Barri Gòtic,7,17,1
2018,2,el Barri Gòtic,5,17,2
2018,2,el Barri Gòtic,15,18,1
2018,2,el Barri Gòtic,16,18,2
2018,2,el Barri Gòtic,..,19,1
2018,2,el Barri Gòtic,5,19,2
2018,2,el Barri Gòtic,..,20,1
2018,2,el Barri Gòtic,..,20,2
2018,2,el Barri Gòtic,..,21,1
2018,2,el Barri Gòtic,..,21,2
2018,2,el Barri Gòtic,..,22,1
2018,2,el Barri Gòtic,..,22,2
2018,2,el Barri Gòtic,..,23,1
2018,2,el Barri Gòtic,..,23,2
2018,2,el Barri Gòtic,..,24,1
2018,2,el Barri Gòtic,5,24,2
2018,2,el Barri Gòtic,8,25,1
2018,2,el Barri Gòtic,8,25,2
2018,2,el Barri Gòtic,8,26,1
2018,2,el Barri Gòtic,10,26,2
2018,2,el Barri Gòtic,8,27,1
2018,2,el Barri Gòtic,..,27,2
2018,2,el Barri Gòtic,..,28,1
2018,2,el Barri Gòtic,..,29,1
2018,2,el Barri Gòtic,..,29,2
2018,2,el Barri Gòtic,6,30,1
2018,2,el Barri Gòtic,..,30,2
2018,2,el Barri Gòtic,21,31,1
2018,2,el Barri Gòtic,20,31,2
2018,2,el Barri Gòtic,11,32,1
2018,2,el Barri Gòtic,6,32,2
2018,2,el Barri Gòtic,..,33,1
2018,2,el Barri Gòtic,7,33,2
2018,2,el Barri Gòtic,..,34,1
2018,2,el Barri Gòtic,5,34,2
2018,2,el Barri Gòtic,14,35,1
2018,2,el Barri Gòtic,12,35,2
2018,2,el Barri Gòtic,..,36,1
2018,2,el Barri Gòtic,..,36,2
2018,2,el Barri Gòtic,8,37,1
2018,2,el Barri Gòtic,11,37,2
2018,2,el Barri Gòtic,..,38,2
2018,2,el Barri Gòtic,..,39,1
2018,2,el Barri Gòtic,..,39,2
2018,2,el Barri Gòtic,10,43,1
2018,2,el Barri Gòtic,..,43,2
2018,2,el Barri Gòtic,..,44,1
2018,2,el Barri Gòtic,..,44,2
2018,2,el Barri Gòtic,..,45,1
2018,2,el Barri Gòtic,8,45,2
2018,2,el Barri Gòtic,9,46,1
2018,2,el Barri Gòtic,5,46,2
2018,2,el Barri Gòtic,6,48,1
2018,2,el Barri Gòtic,..,48,2
2018,2,el Barri Gòtic,..,50,1
2018,2,el Barri Gòtic,5,50,2
2018,2,el Barri Gòtic,..,51,1
2018,2,el Barri Gòtic,..,51,2
2018,2,el Barri Gòtic,6,52,1
2018,2,el Barri Gòtic,..,52,2
2018,2,el Barri Gòtic,..,53,2
2018,2,el Barri Gòtic,..,54,2
2018,2,el Barri Gòtic,6,55,1
2018,2,el Barri Gòtic,..,55,2
2018,2,el Barri Gòtic,..,57,1
2018,2,el Barri Gòtic,..,57,2
2018,2,el Barri Gòtic,..,58,1
2018,2,el Barri Gòtic,..,58,2
2018,2,el Barri Gòtic,5,59,1
2018,2,el Barri Gòtic,..,59,2
2018,2,el Barri Gòtic,7,60,1
2018,2,el Barri Gòtic,9,60,2
2018,2,el Barri Gòtic,5,61,1
2018,2,el Barri Gòtic,6,61,2
2018,2,el Barri Gòtic,..,62,1
2018,2,el Barri Gòtic,..,62,2
2018,2,el Barri Gòtic,5,63,1
2018,2,el Barri Gòtic,..,63,2
2018,2,el Barri Gòtic,12,64,1
2018,2,el Barri Gòtic,13,64,2
2018,2,el Barri Gòtic,8,65,1
2018,2,el Barri Gòtic,8,65,2
2018,2,el Barri Gòtic,18,66,1
2018,2,el Barri Gòtic,13,66,2
2018,2,el Barri Gòtic,7,67,1
2018,2,el Barri Gòtic,7,67,2
2018,2,el Barri Gòtic,14,68,1
2018,2,el Barri Gòtic,19,68,2
2018,2,el Barri Gòtic,..,69,1
2018,2,el Barri Gòtic,..,69,2
2018,2,el Barri Gòtic,11,70,1
2018,2,el Barri Gòtic,16,70,2
2018,2,el Barri Gòtic,5,71,1
2018,2,el Barri Gòtic,..,71,2
2018,2,el Barri Gòtic,5,72,1
2018,2,el Barri Gòtic,5,72,2
2018,2,el Barri Gòtic,..,73,1
2018,2,el Barri Gòtic,6,73,2
2018,3,la Barceloneta,32,1,1
2018,3,la Barceloneta,52,1,2
2018,3,la Barceloneta,35,2,1
2018,3,la Barceloneta,36,2,2
2018,3,la Barceloneta,190,3,1
2018,3,la Barceloneta,221,3,2
2018,3,la Barceloneta,29,4,1
2018,3,la Barceloneta,31,4,2
2018,3,la Barceloneta,12,5,1
2018,3,la Barceloneta,10,5,2
2018,3,la Barceloneta,12,6,1
2018,3,la Barceloneta,17,6,2
2018,3,la Barceloneta,10,7,1
2018,3,la Barceloneta,14,7,2
2018,3,la Barceloneta,9,8,1
2018,3,la Barceloneta,10,8,2
2018,3,la Barceloneta,17,9,1
2018,3,la Barceloneta,12,9,2
2018,3,la Barceloneta,10,10,1
2018,3,la Barceloneta,15,10,2
2018,3,la Barceloneta,25,11,1
2018,3,la Barceloneta,33,11,2
2018,3,la Barceloneta,5,13,1
