Any,Codi_Barri,Nom_Barri,Valor,CODI_BARRI_DEST,SEXE
2020,1,el Raval,762,1,1
2020,1,el Raval,1011,1,2
2020,1,el Raval,119,2,1
2020,1,el Raval,290,2,2
2020,1,el Raval,38,3,1
2020,1,el Raval,33,3,2
2020,1,el Raval,59,4,1
2020,1,el Raval,64,4,2
2020,1,el Raval,33,5,1
2020,1,el Raval,33,5,2
2020,1,el Raval,52,6,1
2020,1,el Raval,50,6,2
2020,1,el Raval,36,7,1
2020,1,el Raval,45,7,2
2020,1,el Raval,51,8,1
2020,1,el Raval,55,8,2
2020,1,el Raval,59,9,1
2020,1,el Raval,63,9,2
2020,1,el Raval,125,10,1
2020,1,el Raval,134,10,2
2020,1,el Raval,164,11,1
2020,1,el Raval,178,11,2
2020,1,el Raval,..,12,1
2020,1,el Raval,6,12,2
2020,1,el Raval,19,13,1
2020,1,el Raval,23,13,2
2020,1,el Raval,14,14,1
2020,1,el Raval,16,14,2
2020,1,el Raval,23,15,1
2020,1,el Raval,35,15,2
2020,1,el Raval,14,16,1
2020,1,el Raval,13,16,2
2020,1,el Raval,22,17,1
2020,1,el Raval,22,17,2
2020,1,el Raval,37,18,1
2020,1,el Raval,57,18,2
2020,1,el Raval,13,19,1
2020,1,el Raval,15,19,2
2020,1,el Raval,6,20,1
2020,1,el Raval,6,20,2
2020,1,el Raval,..,21,1
2020,1,el Raval,..,21,2
2020,1,el Raval,..,22,1
2020,1,el Raval,..,22,2
2020,1,el Raval,11,23,1
2020,1,el Raval,9,23,2
2020,1,el Raval,..,24,1
2020,1,el Raval,..,24,2
2020,1,el Raval,5,25,1
2020,1,el Raval,..,25,2
2020,1,el Raval,9,26,1
2020,1,el Raval,12,26,2
2020,1,el Raval,12,27,1
2020,1,el Raval,17,27,2
2020,1,el Raval,11,28,1
2020,1,el Raval,11,28,2
2020,1,el Raval,..,29,1
2020,1,el Raval,..,29,2
2020,1,el Raval,7,30,1
2020,1,el Raval,9,30,2
2020,1,el Raval,59,31,1
2020,1,el Raval,45,31,2
2020,1,el Raval,25,32,1
2020,1,el Raval,14,32,2
2020,1,el Raval,11,33,1
2020,1,el Raval,17,33,2
2020,1,el Raval,5,34,1
2020,1,el Raval,7,34,2
2020,1,el Raval,17,35,1
2020,1,el Raval,17,35,2
2020,1,el Raval,..,36,1
2020,1,el Raval,..,36,2
2020,1,el Raval,17,37,1
2020,1,el Raval,18,37,2
2020,1,el Raval,..,38,1
2020,1,el Raval,14,38,2
2020,1,el Raval,7,39,1
2020,1,el Raval,..,39,2
2020,1,el Raval,..,40,1
2020,1,el Raval,..,40,2
2020,1,el Raval,..,41,1
2020,1,el Raval,..,42,2
2020,1,el Raval,7,43,1
2020,1,el Raval,6,43,2
2020,1,el Raval,6,44,1
2020,1,el Raval,7,44,2
2020,1,el Raval,15,45,1
2020,1,el Raval,13,45,2
2020,1,el Raval,..,46,1
2020,1,el Raval,6,46,2
2020,1,el Raval,..,47,2
2020,1,el Raval,5,48,1
2020,1,el Raval,..,48,2
2020,1,el Raval,..,49,1
2020,1,el Raval,..,49,2
2020,1,el Raval,12,50,1
2020,1,el Raval,18,50,2
2020,1,el Raval,5,51,1
2020,1,el Raval,..,51,2
2020,1,el Raval,15,52,1
2020,1,el Raval,14,52,2
2020,1,el Raval,..,53,1
2020,1,el Raval,..,53,2
2020,1,el Raval,..,54,1
2020,1,el Raval,5,55,1
2020,1,el Raval,10,55,2
2020,1,el Raval,..,56,2
2020,1,el Raval,7,57,1
2020,1,el Raval,8,57,2
2020,1,el Raval,5,58,1
2020,1,el Raval,..,58,2
2020,1,el Raval,..,59,1
2020,1,el Raval,7,59,2
2020,1,el Raval,14,60,1
2020,1,el Raval,12,60,2
2020,1,el Raval,7,61,1
2020,1,el Raval,11,61,2
2020,1,el Raval,6,62,1
2020,1,el Raval,5,62,2
2020,1,el Raval,5,63,1
2020,1,el Raval,10,63,2
2020,1,el Raval,22,64,1
2020,1,el Raval,29,64,2
2020,1,el Raval,6,65,1
2020,1,el Raval,10,65,2
2020,1,el Raval,15,66,1
2020,1,el Raval,9,66,2
2020,1,el Raval,6,67,1
2020,1,el Raval,..,67,2
2020,1,el Raval,30,68,1
2020,1,el Raval,36,68,2
2020,1,el Raval,..,69,1
2020,1,el Raval,..,69,2
2020,1,el Raval,22,70,1
2020,1,el Raval,30,70,2
2020,1,el Raval,5,71,1
2020,1,el Raval,7,71,2
2020,1,el Raval,7,72,1
2020,1,el Raval,9,72,2
2020,1,el Raval,14,73,1
2020,1,el Raval,18,73,2
2020,2,el Barri Gòtic,127,1,1
2020,2,el Barri Gòtic,179,1,2
2020,2,el Barri Gòtic,136,2,1
2020,2,el Barri Gòtic,152,2,2
2020,2,el Barri Gòtic,38,3,1
2020,2,el Barri Gòtic,34,3,2
2020,2,el Barri Gòtic,69,4,1
2020,2,el Barri Gòtic,60,4,2
2020,2,el Barri Gòtic,14,5,1
2020,2,el Barri Gòtic,13,5,2
2020,2,el Barri Gòtic,21,6,1
2020,2,el Barri Gòtic,24,6,2
2020,2,el Barri Gòtic,44,7,1
2020,2,el Barri Gòtic,33,7,2
2020,2,el Barri Gòtic,38,8,1
2020,2,el Barri Gòtic,31,8,2
2020,2,el Barri Gòtic,22,9,1
2020,2,el Barri Gòtic,21,9,2
2020,2,el Barri Gòtic,29,10,1
2020,2,el Barri Gòtic,20,10,2
2020,2,el Barri Gòtic,59,11,1
2020,2,el Barri Gòtic,49,11,2
2020,2,el Barri Gòtic,..,12,2
2020,2,el Barri Gòtic,..,13,1
2020,2,el Barri Gòtic,5,13,2
2020,2,el Barri Gòtic,..,14,1
2020,2,el Barri Gòtic,5,14,2
2020,2,el Barri Gòtic,9,15,1
2020,2,el Barri Gòtic,9,15,2
2020,2,el Barri Gòtic,5,16,1
2020,2,el Barri Gòtic,6,16,2
2020,2,el Barri Gòtic,8,17,1
2020,2,el Barri Gòtic,..,17,2
2020,2,el Barri Gòtic,17,18,1
2020,2,el Barri Gòtic,22,18,2
2020,2,el Barri Gòtic,5,19,1
2020,2,el Barri Gòtic,..,19,2
2020,2,el Barri Gòtic,..,20,1
2020,2,el Barri Gòtic,..,20,2
2020,2,el Barri Gòtic,..,21,2
2020,2,el Barri Gòtic,..,22,1
2020,2,el Barri Gòtic,..,22,2
2020,2,el Barri Gòtic,5,23,1
2020,2,el Barri Gòtic,..,23,2
2020,2,el Barri Gòtic,..,24,1
2020,2,el Barri Gòtic,10,24,2
2020,2,el Barri Gòtic,..,25,1
2020,2,el Barri Gòtic,..,25,2
2020,2,el Barri Gòtic,10,26,1
2020,2,el Barri Gòtic,6,26,2
2020,2,el Barri Gòtic,5,27,1
2020,2,el Barri Gòtic,5,27,2
2020,2,el Barri Gòtic,6,28,1
2020,2,el Barri Gòtic,..,28,2
2020,2,el Barri Gòtic,5,29,1
2020,2,el Barri Gòtic,..,29,2
2020,2,el Barri Gòtic,..,30,1
2020,2,el Barri Gòtic,..,30,2
2020,2,el Barri Gòtic,34,31,1
2020,2,el Barri Gòtic,25,31,2
2020,2,el Barri Gòtic,19,32,1
2020,2,el Barri Gòtic,19,32,2
2020,2,el Barri Gòtic,12,33,1
2020,2,el Barri Gòtic,..,33,2
2020,2,el Barri Gòtic,5,34,1
2020,2,el Barri Gòtic,..,34,2
2020,2,el Barri Gòtic,6,35,1
2020,2,el Barri Gòtic,8,35,2
2020,2,el Barri Gòtic,..,36,1
2020,2,el Barri Gòtic,..,36,2
2020,2,el Barri Gòtic,7,37,1
2020,2,el Barri Gòtic,11,37,2
2020,2,el Barri Gòtic,..,38,1
2020,2,el Barri Gòtic,..,38,2
2020,2,el Barri Gòtic,..,39,1
2020,2,el Barri Gòtic,6,39,2
2020,2,el Barri Gòtic,..,41,2
2020,2,el Barri Gòtic,..,43,1
2020,2,el Barri Gòtic,10,43,2
2020,2,el Barri Gòtic,..,44,2
2020,2,el Barri Gòtic,..,45,1
2020,2,el Barri Gòtic,6,45,2
2020,2,el Barri Gòtic,6,46,1
2020,2,el Barri Gòtic,5,46,2
2020,2,el Barri Gòtic,5,48,1
2020,2,el Barri Gòtic,..,48,2
2020,2,el Barri Gòtic,..,49,1
2020,2,el Barri Gòtic,..,50,1
2020,2,el Barri Gòtic,5,50,2
2020,2,el Barri Gòtic,..,51,1
2020,2,el Barri Gòtic,..,51,2
2020,2,el Barri Gòtic,5,52,1
2020,2,el Barri Gòtic,6,52,2
2020,2,el Barri Gòtic,..,53,2
2020,2,el Barri Gòtic,..,54,1
2020,2,el Barri Gòtic,..,54,2
2020,2,el Barri Gòtic,6,57,1
2020,2,el Barri Gòtic,10,57,2
2020,2,el Barri Gòtic,..,58,2
2020,2,el Barri Gòtic,..,59,1
2020,2,el Barri Gòtic,..,59,2
