Any,Codi_Barri,Nom_Barri,Valor,CODI_BARRI_DEST,SEXE
2019,1,el Raval,889,1,1
2019,1,el Raval,1274,1,2
2019,1,el Raval,152,2,1
2019,1,el Raval,640,2,2
2019,1,el Raval,35,3,1
2019,1,el Raval,58,3,2
2019,1,el Raval,59,4,1
2019,1,el Raval,89,4,2
2019,1,el Raval,30,5,1
2019,1,el Raval,49,5,2
2019,1,el Raval,41,6,1
2019,1,el Raval,46,6,2
2019,1,el Raval,45,7,1
2019,1,el Raval,39,7,2
2019,1,el Raval,70,8,1
2019,1,el Raval,62,8,2
2019,1,el Raval,72,9,1
2019,1,el Raval,70,9,2
2019,1,el Raval,166,10,1
2019,1,el Raval,179,10,2
2019,1,el Raval,172,11,1
2019,1,el Raval,241,11,2
2019,1,el Raval,..,12,1
2019,1,el Raval,..,12,2
2019,1,el Raval,21,13,1
2019,1,el Raval,23,13,2
2019,1,el Raval,14,14,1
2019,1,el Raval,12,14,2
2019,1,el Raval,28,15,1
2019,1,el Raval,30,15,2
2019,1,el Raval,16,16,1
2019,1,el Raval,22,16,2
2019,1,el Raval,24,17,1
2019,1,el Raval,17,17,2
2019,1,el Raval,43,18,1
2019,1,el Raval,77,18,2
2019,1,el Raval,20,19,1
2019,1,el Raval,10,19,2
2019,1,el Raval,10,20,1
2019,1,el Raval,14,20,2
2019,1,el Raval,..,21,1
2019,1,el Raval,..,21,2
2019,1,el Raval,..,22,1
2019,1,el Raval,11,23,1
2019,1,el Raval,11,23,2
2019,1,el Raval,5,24,1
2019,1,el Raval,..,24,2
2019,1,el Raval,7,25,1
2019,1,el Raval,9,25,2
2019,1,el Raval,23,26,1
2019,1,el Raval,15,26,2
2019,1,el Raval,8,27,1
2019,1,el Raval,16,27,2
2019,1,el Raval,10,28,1
2019,1,el Raval,11,28,2
2019,1,el Raval,11,29,1
2019,1,el Raval,13,29,2
2019,1,el Raval,9,30,1
2019,1,el Raval,11,30,2
2019,1,el Raval,74,31,1
2019,1,el Raval,56,31,2
2019,1,el Raval,14,32,1
2019,1,el Raval,19,32,2
2019,1,el Raval,15,33,1
2019,1,el Raval,15,33,2
2019,1,el Raval,7,34,1
2019,1,el Raval,8,34,2
2019,1,el Raval,13,35,1
2019,1,el Raval,19,35,2
2019,1,el Raval,7,36,1
2019,1,el Raval,7,36,2
2019,1,el Raval,6,37,1
2019,1,el Raval,14,37,2
2019,1,el Raval,9,38,1
2019,1,el Raval,6,38,2
2019,1,el Raval,6,39,1
2019,1,el Raval,..,39,2
2019,1,el Raval,..,40,1
2019,1,el Raval,..,40,2
2019,1,el Raval,..,41,1
2019,1,el Raval,..,41,2
2019,1,el Raval,12,43,1
2019,1,el Raval,11,43,2
2019,1,el Raval,10,44,1
2019,1,el Raval,11,44,2
2019,1,el Raval,9,45,1
2019,1,el Raval,13,45,2
2019,1,el Raval,6,46,1
2019,1,el Raval,9,46,2
2019,1,el Raval,8,48,1
2019,1,el Raval,5,48,2
2019,1,el Raval,..,49,1
2019,1,el Raval,10,50,1
2019,1,el Raval,16,50,2
2019,1,el Raval,5,51,1
2019,1,el Raval,..,51,2
2019,1,el Raval,13,52,1
2019,1,el Raval,15,52,2
2019,1,el Raval,..,53,1
2019,1,el Raval,..,53,2
2019,1,el Raval,..,54,2
2019,1,el Raval,5,55,1
2019,1,el Raval,9,55,2
2019,1,el Raval,7,57,1
2019,1,el Raval,16,57,2
2019,1,el Raval,..,58,2
2019,1,el Raval,8,59,1
2019,1,el Raval,13,59,2
2019,1,el Raval,15,60,1
2019,1,el Raval,11,60,2
2019,1,el Raval,9,61,1
2019,1,el Raval,9,61,2
2019,1,el Raval,11,62,1
2019,1,el Raval,17,62,2
2019,1,el Raval,9,63,1
2019,1,el Raval,9,63,2
2019,1,el Raval,29,64,1
2019,1,el Raval,37,64,2
