Any,Codi_Barri,Nom_Barri,Valor,CODI_BARRI_DEST,SEXE
2022,1,el Raval,726,1,1
2022,1,el Raval,852,1,2
2022,1,el Raval,182,2,1
2022,1,el Raval,384,2,2
2022,1,el Raval,31,3,1
2022,1,el Raval,33,3,2
2022,1,el Raval,87,4,1
2022,1,el Raval,81,4,2
2022,1,el Raval,40,5,1
2022,1,el Raval,64,5,2
2022,1,el Raval,40,6,1
2022,1,el Raval,32,6,2
2022,1,el Raval,33,7,1
2022,1,el Raval,36,7,2
2022,1,el Raval,42,8,1
2022,1,el Raval,40,8,2
2022,1,el Raval,53,9,1
2022,1,el Raval,57,9,2
2022,1,el Raval,153,10,1
2022,1,el Raval,151,10,2
2022,1,el Raval,182,11,1
2022,1,el Raval,197,11,2
2022,1,el Raval,6,12,1
2022,1,el Raval,..,12,2
2022,1,el Raval,22,13,1
2022,1,el Raval,25,13,2
2022,1,el Raval,17,14,1
2022,1,el Raval,26,14,2
2022,1,el Raval,19,15,1
2022,1,el Raval,19,15,2
2022,1,el Raval,15,16,1
2022,1,el Raval,24,16,2
2022,1,el Raval,22,17,1
2022,1,el Raval,22,17,2
2022,1,el Raval,38,18,1
2022,1,el Raval,39,18,2
2022,1,el Raval,30,19,1
2022,1,el Raval,23,19,2
2022,1,el Raval,10,20,1
2022,1,el Raval,17,20,2
2022,1,el Raval,11,21,1
2022,1,el Raval,6,21,2
2022,1,el Raval,5,22,1
2022,1,el Raval,..,22,2
2022,1,el Raval,7,23,1
2022,1,el Raval,5,23,2
2022,1,el Raval,..,24,1
2022,1,el Raval,13,25,1
2022,1,el Raval,11,25,2
2022,1,el Raval,22,26,1
2022,1,el Raval,20,26,2
2022,1,el Raval,13,27,1
2022,1,el Raval,13,27,2
2022,1,el Raval,14,28,1
2022,1,el Raval,12,28,2
2022,1,el Raval,7,29,1
2022,1,el Raval,..,29,2
2022,1,el Raval,13,30,1
2022,1,el Raval,..,30,2
2022,1,el Raval,47,31,1
2022,1,el Raval,43,31,2
2022,1,el Raval,31,32,1
2022,1,el Raval,25,32,2
2022,1,el Raval,16,33,1
2022,1,el Raval,12,33,2
2022,1,el Raval,..,34,1
2022,1,el Raval,5,34,2
2022,1,el Raval,22,35,1
2022,1,el Raval,32,35,2
2022,1,el Raval,..,36,1
2022,1,el Raval,16,37,1
2022,1,el Raval,24,37,2
2022,1,el Raval,13,38,1
2022,1,el Raval,10,38,2
2022,1,el Raval,..,39,1
2022,1,el Raval,..,39,2
2022,1,el Raval,..,40,1
2022,1,el Raval,..,40,2
2022,1,el Raval,..,41,1
2022,1,el Raval,6,41,2
2022,1,el Raval,16,43,1
2022,1,el Raval,14,43,2
2022,1,el Raval,11,44,1
2022,1,el Raval,..,44,2
2022,1,el Raval,12,45,1
2022,1,el Raval,17,45,2
2022,1,el Raval,..,46,1
2022,1,el Raval,10,46,2
2022,1,el Raval,6,48,1
2022,1,el Raval,6,48,2
2022,1,el Raval,..,49,2
2022,1,el Raval,12,50,1
2022,1,el Raval,12,50,2
2022,1,el Raval,..,51,1
2022,1,el Raval,..,51,2
2022,1,el Raval,10,52,1
2022,1,el Raval,11,52,2
2022,1,el Raval,6,53,1
2022,1,el Raval,6,53,2
2022,1,el Raval,..,54,1
2022,1,el Raval,6,54,2
2022,1,el Raval,8,55,1
2022,1,el Raval,8,55,2
2022,1,el Raval,9,57,1
2022,1,el Raval,8,57,2
2022,1,el Raval,..,58,1
2022,1,el Raval,..,58,2
2022,1,el Raval,14,59,1
2022,1,el Raval,23,59,2
2022,1,el Raval,17,60,1
2022,1,el Raval,17,60,2
2022,1,el Raval,14,61,1
2022,1,el Raval,12,61,2
2022,1,el Raval,6,62,1
2022,1,el Raval,5,62,2
2022,1,el Raval,12,63,1
2022,1,el Raval,7,63,2
2022,1,el Raval,19,64,1
2022,1,el Raval,32,64,2
2022,1,el Raval,20,65,1
2022,1,el Raval,13,65,2
2022,1,el Raval,7,66,1
2022,1,el Raval,12,66,2
2022,1,el Raval,8,67,1
2022,1,el Raval,6,67,2
2022,1,el Raval,29,68,1
2022,1,el Raval,26,68,2
2022,1,el Raval,5,69,1
2022,1,el Raval,6,69,2
2022,1,el Raval,31,70,1
2022,1,el Raval,47,70,2
2022,1,el Raval,18,71,1
2022,1,el Raval,20,71,2
2022,1,el Raval,13,72,1
2022,1,el Raval,9,72,2
2022,1,el Raval,13,73,1
2022,1,el Raval,17,73,2
2022,2,el Barri Gòtic,129,1,1
2022,2,el Barri Gòtic,242,1,2
2022,2,el Barri Gòtic,133,2,1
2022,2,el Barri Gòtic,157,2,2
2022,2,el Barri Gòtic,27,3,1
2022,2,el Barri Gòtic,41,3,2
2022,2,el Barri Gòtic,68,4,1
2022,2,el Barri Gòtic,66,4,2
2022,2,el Barri Gòtic,16,5,1
2022,2,el Barri Gòtic,22,5,2
2022,2,el Barri Gòtic,35,6,1
2022,2,el Barri Gòtic,31,6,2
2022,2,el Barri Gòtic,34,7,1
2022,2,el Barri Gòtic,49,7,2
2022,2,el Barri Gòtic,26,8,1
2022,2,el Barri Gòtic,27,8,2
2022,2,el Barri Gòtic,30,9,1
2022,2,el Barri Gòtic,19,9,2
2022,2,el Barri Gòtic,49,10,1
2022,2,el Barri Gòtic,33,10,2
2022,2,el Barri Gòtic,49,11,1
2022,2,el Barri Gòtic,67,11,2
2022,2,el Barri Gòtic,..,12,1
2022,2,el Barri Gòtic,..,12,2
2022,2,el Barri Gòtic,11,13,1
2022,2,el Barri Gòtic,17,13,2
2022,2,el Barri Gòtic,6,14,1
2022,2,el Barri Gòtic,14,14,2
2022,2,el Barri Gòtic,12,15,1
2022,2,el Barri Gòtic,13,15,2
2022,2,el Barri Gòtic,12,16,1
2022,2,el Barri Gòtic,12,16,2
2022,2,el Barri Gòtic,7,17,1
2022,2,el Barri Gòtic,8,17,2
2022,2,el Barri Gòtic,21,18,1
2022,2,el Barri Gòtic,27,18,2
2022,2,el Barri Gòtic,11,19,1
2022,2,el Barri Gòtic,11,19,2
2022,2,el Barri Gòtic,5,20,1
2022,2,el Barri Gòtic,..,20,2
2022,2,el Barri Gòtic,..,21,1
2022,2,el Barri Gòtic,..,21,2
2022,2,el Barri Gòtic,..,22,1
2022,2,el Barri Gòtic,..,22,2
2022,2,el Barri Gòtic,8,23,1
2022,2,el Barri Gòtic,9,23,2
2022,2,el Barri Gòtic,..,24,1
2022,2,el Barri Gòtic,8,24,2
2022,2,el Barri Gòtic,..,25,1
2022,2,el Barri Gòtic,..,25,2
2022,2,el Barri Gòtic,10,26,1
2022,2,el Barri Gòtic,7,26,2
2022,2,el Barri Gòtic,6,27,1
2022,2,el Barri Gòtic,9,27,2
2022,2,el Barri Gòtic,7,28,1
2022,2,el Barri Gòtic,11,28,2
2022,2,el Barri Gòtic,..,29,1
2022,2,el Barri Gòtic,..,29,2
2022,2,el Barri Gòtic,..,30,1
2022,2,el Barri Gòtic,..,30,2
2022,2,el Barri Gòtic,39,31,1
2022,2,el Barri Gòtic,31,31,2
2022,2,el Barri Gòtic,11,32,1
2022,2,el Barri Gòtic,13,32,2
2022,2,el Barri Gòtic,9,33,1
2022,2,el Barri Gòtic,8,33,2
2022,2,el Barri Gòtic,..,34,1
2022,2,el Barri Gòtic,..,34,2
2022,2,el Barri Gòtic,8,35,1
2022,2,el Barri Gòtic,12,35,2
2022,2,el Barri Gòtic,..,36,1
2022,2,el Barri Gòtic,..,36,2
2022,2,el Barri Gòtic,8,37,1
2022,2,el Barri Gòtic,8,37,2
2022,2,el Barri Gòtic,6,38,1
2022,2,el Barri Gòtic,9,38,2
2022,2,el Barri Gòtic,..,39,1
2022,2,el Barri Gòtic,..,39,2
2022,2,el Barri Gòtic,..,40,1
2022,2,el Barri Gòtic,..,40,2
2022,2,el Barri Gòtic,..,41,2
2022,2,el Barri Gòtic,..,43,1
2022,2,el Barri Gòtic,10,43,2
2022,2,el Barri Gòtic,9,44,1
2022,2,el Barri Gòtic,6,44,2
2022,2,el Barri Gòtic,13,45,1
2022,2,el Barri Gòtic,14,45,2
2022,2,el Barri Gòtic,6,46,1
2022,2,el Barri Gòtic,10,46,2
2022,2,el Barri Gòtic,12,48,1
2022,2,el Barri Gòtic,6,48,2
2022,2,el Barri Gòtic,..,49,2
2022,2,el Barri Gòtic,6,50,1
2022,2,el Barri Gòtic,6,50,2
2022,2,el Barri Gòtic,6,51,1
2022,2,el Barri Gòtic,6,52,1
2022,2,el Barri Gòtic,6,52,2
2022,2,el Barri Gòtic,..,54,2
2022,2,el Barri Gòtic,..,55,1
2022,2,el Barri Gòtic,..,55,2
2022,2,el Barri Gòtic,..,57,1
2022,2,el Barri Gòtic,6,57,2
2022,2,el Barri Gòtic,..,58,1
2022,2,el Barri Gòtic,..,58,2
2022,2,el Barri Gòtic,..,59,1
2022,2,el Barri Gòtic,..,59,2
2022,2,el Barri Gòtic,10,60,1
2022,2,el Barri Gòtic,11,60,2
2022,2,el Barri Gòtic,7,61,1
2022,2,el Barri Gòtic,6,61,2
2022,2,el Barri Gòtic,5,62,1
2022,2,el Barri Gòtic,5,62,2
2022,2,el Barri Gòtic,9,63,1
2022,2,el Barri Gòtic,9,63,2
2022,2,el Barri Gòtic,11,64,1
2022,2,el Barri Gòtic,14,64,2
2022,2,el Barri Gòtic,12,65,1
2022,2,el Barri Gòtic,11,65,2
2022,2,el Barri Gòtic,18,66,1
2022,2,el Barri Gòtic,14,66,2
2022,2,el Barri Gòtic,..,67,1
2022,2,el Barri Gòtic,..,67,2
2022,2,el Barri Gòtic,22,68,1
2022,2,el Barri Gòtic,25,68,2
2022,2,el Barri Gòtic,..,69,2
2022,2,el Barri Gòtic,21,70,1
2022,2,el Barri Gòtic,29,70,2
2022,2,el Barri Gòtic,5,71,1
2022,2,el Barri Gòtic,7,71,2
2022,2,el Barri Gòtic,9,72,1
2022,2,el Barri Gòtic,8,72,2
2022,2,el Barri Gòtic,9,73,1
2022,2,el Barri Gòtic,8,73,2
2022,3,la Barceloneta,21,1,1
2022,3,la Barceloneta,34,1,2
2022,3,la Barceloneta,34,2,1
2022,3,la Barceloneta,42,2,2
2022,3,la Barceloneta,163,3,1
2022,3,la Barceloneta,171,3,2
2022,3,la Barceloneta,39,4,1
2022,3,la Barceloneta,41,4,2
2022,3,la Barceloneta,16,5,1
2022,3,la Barceloneta,27,5,2
2022,3,la Barceloneta,14,6,1
2022,3,la Barceloneta,12,6,2
